date,open,high,low,close,volume
23-10-2020,18.500,18.690,18.040,18.480,16169350
19-10-2020,18.380,18.760,18.060,18.550,13531779
12-10-2020,17.970,18.520,17.750,18.350,13760111
05-10-2020,18.500,18.650,16.800,17.610,20104573
28-09-2020,18.150,18.530,17.920,18.330,14404599
21-09-2020,18.410,18.660,18.160,18.390,21334045
14-09-2020,18.970,19.280,18.110,18.370,15468483
07-09-2020,19.300,19.410,18.670,18.870,18256787
31-08-2020,20.050,20.280,19.040,19.580,22374022
24-08-2020,20.500,20.540,19.720,19.910,21411985
17-08-2020,20.400,20.850,20.230,20.370,16228320
10-08-2020,20.300,20.620,19.940,20.290,16837645
03-08-2020,20.730,20.890,19.570,20.050,15294289
27-07-2020,20.100,21.230,20.010,20.820,13066566
20-07-2020,21.340,21.840,20.090,20.100,23723089
13-07-2020,21.690,21.790,20.870,21.520,13433915
06-07-2020,21.050,22.150,21.050,21.580,11436593
29-06-2020,22.280,22.360,20.360,20.570,22448143
22-06-2020,21.300,22.280,21.070,22.070,28633642
15-06-2020,23.740,24.750,20.670,20.670,31088552
05-06-2020,23.000,23.830,22.820,23.360,14725064
01-06-2020,22.900,23.660,22.350,22.930,21956742
25-05-2020,22.700,23.120,22.080,22.620,12436420
18-05-2020,22.360,22.380,21.070,21.690,15059687
11-05-2020,21.320,22.620,21.120,22.370,13647026
04-05-2020,20.100,22.530,19.800,20.960,18743209
27-04-2020,19.570,20.680,19.060,20.180,17951667
20-04-2020,22.120,22.280,20.140,20.150,21888621
09-04-2020,21.570,21.870,20.690,21.840,14796954
06-04-2020,18.240,21.750,17.970,20.950,36734655
30-03-2020,15.200,18.970,15.160,17.970,38404125
23-03-2020,18.100,19.100,14.930,15.270,43969649
16-03-2020,20.790,23.600,17.260,17.960,53242029
09-03-2020,29.000,29.030,19.500,21.540,28568355
02-03-2020,30.100,30.720,27.210,28.330,27922316
24-02-2020,33.300,33.655,30.945,31.080,12771871
17-02-2020,33.690,34.340,32.830,33.320,12795149
10-02-2020,33.550,34.440,33.020,33.560,13325124
03-02-2020,34.500,35.070,33.560,33.700,13709899
24-01-2020,35.850,35.940,35.090,35.390,7930642
20-01-2020,35.390,36.200,35.310,35.820,9627541
13-01-2020,35.500,36.280,35.280,35.430,12543221
06-01-2020,34.620,35.450,34.200,35.360,5344016
30-12-2019,34.800,35.215,34.585,34.920,2045991
23-12-2019,35.000,35.570,34.720,34.730,15920199
16-12-2019,34.300,35.100,34.020,34.970,9205320
09-12-2019,33.950,34.460,32.880,34.350,11533795
02-12-2019,34.360,34.770,34.060,34.220,12380531
25-11-2019,34.190,34.510,33.550,33.990,11522605
18-11-2019,34.330,34.370,33.530,34.250,9266927
11-11-2019,33.260,34.280,32.780,34.120,12637473
04-11-2019,32.600,33.040,32.050,32.720,9099866
28-10-2019,31.630,32.730,31.610,32.590,11222626
21-10-2019,31.700,32.230,31.520,31.690,13508114
14-10-2019,31.390,32.105,30.720,32.000,12531217
07-10-2019,32.150,32.280,30.580,31.150,13600364
30-09-2019,32.500,32.660,31.630,32.380,14055152
23-09-2019,33.050,33.385,32.060,32.620,18680969
16-09-2019,31.950,33.840,31.235,32.700,21775034
09-09-2019,31.700,32.040,30.930,31.730,12194568
02-09-2019,30.950,32.275,30.890,31.800,16555947
26-08-2019,31.910,32.730,30.860,31.030,11730399
19-08-2019,33.000,33.580,30.810,31.730,15224940
12-08-2019,32.170,33.430,31.930,33.220,11980534
